BOG_PATHFINDER_BODY_NAME: パスファインダー
BOG_PATHFINDER_BODY_SUBTITLE: 惑星間ハンター
BOG_PATHFINDER_BODY_DESCRIPTION: パスファインダーは狡猾で回避力に優れた遊撃戦士であり、ロボットハヤブサのスコールと共に戦う。 <i>Translated by: Jaosnake. Original mod by Bog</i>

BOG_PATHFINDER_BODY_PASSIVE_NAME: 鷹匠
BOG_PATHFINDER_BODY_PASSIVE_DESCRIPTION: ロボットハヤブサのスコールが同行する。スコールは<style=cIsDamage>ほとんどの</style>アイテムを継承し、ダメージを受けないが、<style=cIsUtility>バッテリー</style>で動作する。

BOG_PATHFINDER_BODY_DEFAULT_SKIN_NAME: デフォルト
BOG_PATHFINDER_BODY_MASTERY_SKIN_NAME: ヘッドハンター
BOG_PATHFINDER_BODY_OUTRO_FLAVOR: ..そして彼らは去っていった、食物連鎖の新たな王者として。
BOG_PATHFINDER_BODY_OUTRO_FAILURE: ..そして彼らは消え去った、無関心な荒野に永遠に lost して。
BOG_SQUALL_BODY_NAME: スコール
BOG_SQUALL_BODY_DEFAULT_SKIN_NAME: デフォルト
BOG_SQUALL_BODY_MASTERY_SKIN_NAME: マスタリー
PRIMARY_THRUST_NAME: 突き
PRIMARY_THRUST_DESCRIPTION: <style=cIsUtility>貫通</style>。槍を前方に突き出し、<style=cIsDamage>250%のダメージ</style>を与える。

SECONDARY_DASH_NAME: 軽足
SECONDARY_DASH_DESCRIPTION: <style=cIsUtility>スライド</style>で短距離移動する。次にプライマリスキルを使用すると、<style=cIsDamage>爆発槍</style>を投げて<style=cIsDamage>800%のダメージ</style>を与え、<style=cIsUtility>800%のバッテリー</style>を回復する。クリティカルヒットで効果2倍。

SECONDARY_JAVELIN_NAME: 槍投げ
SECONDARY_JAVELIN_DESCRIPTION: <style=cIsDamage>爆発槍</style>を投げて<style=cIsDamage>800%のダメージ</style>を与える。

UTILITY_SPIN_NAME: 裂傷の爪
UTILITY_SPIN_DESCRIPTION: 空中に舞い上がり、素早く回転して<style=cIsDamage>300%のダメージ</style>を与える。着地時に水平払いを実行し、<style=cIsDamage>800%のダメージ</style>を与える。

UTILITY_BOLAS_NAME: ショック・ボーラ
UTILITY_BOLAS_DESCRIPTION: 帯電したボーラを投げ、近くの敵を<style=cIsUtility>ショック</style>状態にし、<style=cIsUtility>感電</style>フィールドを<style=cIsUtility>10秒間</style>残す。

SPECIAL_COMMAND_NAME: 命令を下す
SPECIAL_COMMAND_DESCRIPTION: スコールへの命令を準備する。プライマリ、セカンダリ、スペシャルスキルキーを押すことで、それぞれ<color=#FF0000>攻撃</color>、<color=#00FF00>追従</color>、<color=#efeb1c>特殊</color>の命令を出せる。

SPECIAL_COMMAND2_NAME: 命令を下す - ユーティリティ上書き
SPECIAL_ATTACK_NAME: 攻撃
SPECIAL_ATTACK_DESCRIPTION: スコールの注意を目標の敵に向け、<color=#FF0000>攻撃モード</color>を起動する。機銃（<style=cIsDamage>2x30%のダメージ</style>）とミサイルランチャー（<style=cIsDamage>150%のダメージ</style>）を使用可能にする。

SPECIAL_FOLLOW_NAME: 追従
SPECIAL_FOLLOW_DESCRIPTION: スコールを自分の近くに呼び戻し、<color=#00FF00>追従モード</color>を起動する。スコールはあなたの近くに留まる。

SPECIAL_CANCEL_NAME: コマンドモード解除
SPECIAL_CANCEL_DESCRIPTION: コマンドモードを解除する。

SQUALL_SPECIAL_GOFORTHROAT_NAME: 喉元へ！
SQUALL_SPECIAL_GOFORTHROAT_DESCRIPTION: スコールに目標の敵を繰り返し攻撃するよう命令し、<style=cIsDamage>70%のダメージ</style>を与える。各攻撃は一時的に<style=cIsDamage>装甲</style>を減少させ、<style=cIsUtility>バッテリーを1%回復</style>する。クリティカルヒットで効果2倍。このスキルは一時的にバッテリーを<style=cIsUtility>過充電</style>できる。

BOG_PATHFINDER_BODY_MASTERYUNLOCKABLE_ACHIEVEMENT_NAME: パスファインダー：マスタリー
BOG_PATHFINDER_BODY_MASTERYUNLOCKABLE_ACHIEVEMENT_DESC: パスファインダーとして、ゲームをクリアするかモンスーンで消滅する。
BOG_PATHFINDER_BODY_MASTERYUNLOCKABLE_UNLOCKABLE_NAME: パスファインダー：マスタリー
