{
    strings:
    {
    "KENKO_BANSHEE_NAME" : "Банші",
    "KENKO_BANSHEE_DESCRIPTION" : "Банші — повітряна виживальниця, яка чудово ухиляється від ближнього бою.<color=#CCD3E0>\n\n< ! > Парасоля ATK повільно замахується і не може використовуватись при ширянні, але це чудовий спосіб піднятися в повітря.\n\n< ! > Накопичення зарядів Пікірування перед його використанням може завдати нищівної шкоди в його зоні максимального ураження.\n\n< ! > Двигуни HDN значно збільшують мобільність Банші в повітрі — використовуйте їх економно для ухилення від смертельних ворожих снарядів.\n\n< ! > Граната CAL чудово групує ворогів — Намагайтеся цілитися Пікіруванням у її центр для максимальної ефективності!\n\n",
    "KENKO_BANSHEE_SUBTITLE" : "Провісниця Дому За Межею",
    "KENKO_BANSHEE_LORE" : "З тим як інструменти стають зброєю, нові сили піднялися в суворій ієрархії Дому За Межею, щоб «Експериментувати» з їхніми новознайденими технологіями. Серед цих сил Банші домінують у повітряному озброєнні зі своїми Парасолями FLT. Зі здатністю викликати вогники та руйнувати гравітацію їхні руйнівні можливості безмежні. У майбутньому Дім За Межею сподівається вдосконалити принципи дизайну, щоб підняти можливості своїх технологій до самого місяця.",
    "KENKO_BANSHEE_OUTRO_FLAVOR" : "..і так вона пішла, її шепіт відлунює крізь вічність.",
    "KENKO_BANSHEE_OUTRO_FAILURE" : "..і так вона зникла, відлунюючи оглушливу тишу.",
    "KENKO_BANSHEE_PASSIVE_NAME" : "FLT Парасоля",
    "KENKO_BANSHEE_PASSIVE_DESCRIPTION" : "Утримання клавіші стрибка змушує Банші ширяти в повітрі. При ширянні ваша <style=cIsUtility>Основна Навичка</style> замість цього стріляє вогником, завдаючи <style=cIsDamage>200% шкоди</style>.",
    "KENKO_BANSHEE_PRIMARY_ATKUMBRELLA_NAME" : "ATK Парасоля",
    "KENKO_BANSHEE_PRIMARY_ATKUMBRELLA_DESCRIPTION" : "<color=#ba8fff>Знамення</color>. Рубіть перед собою на <style=cIsDamage>250% шкоди</style>. Кожен 3-й удар штовхає вас уперед і в повітря, завдаючи <style=cIsDamage>300% шкоди</style>.",
    "KENKO_BANSHEE_PRIMARY_THRSTUMBRELLA_NAME" : "THRST Парасоля",
    "KENKO_BANSHEE_PRIMARY_THRSTUMBRELLA_DESCRIPTION" : "<color=#ba8fff>Знамення</color>. Рубіть перед собою на <style=cIsDamage>250% шкоди</style>. Кожен 3-й удар штовхає вас у повітря, завдаючи <style=cIsDamage>300% шкоди</style>.",
    "KENKO_BANSHEE_PRIMARY_WISP_NAME" : "Ефірний Вогник",
    "KENKO_BANSHEE_PRIMARY_WISP_DESCRIPTION" : "Вистрілює вогником на <style=cIsDamage>200% шкоди</style>.",
    "KENKO_BANSHEE_SECONDARY_DIVE_NAME" : "Пікірування",
    "KENKO_BANSHEE_SECONDARY_DIVE_DESCRIPTION" : "<style=cIsUtility>Аеродинаміка</style>. Пікіруйте вниз, завдаючи <style=cIsDamage>250% шкоди</style> при ударі. <style=cIsHealth>Споживає</style> всі заряди <style=cIsUtility>навички</style>, збільшуючи <style=cIsDamage>завдану шкоду</style> за кожен спожитий.",
    "KENKO_BANSHEE_UTILITY_THRUST_NAME" : "Двигуни HDN",
    "KENKO_BANSHEE_UTILITY_THRUST_DESCRIPTION" : "<color=#ba8fff>Знамення</color>. Ривок у напрямку.",
    "KENKO_BANSHEE_UTILITY_SUPERTHRUST_NAME" : "Двигун EXP",
    "KENKO_BANSHEE_UTILITY_SUPERTHRUST_DESCRIPTION" : "<color=#ba8fff>Знамення</color>. Ривок у напрямку. <color=#ba8fff>Знамення</color> активується додатково <style=cIsUtility>4</style> рази.",
    "KENKO_BANSHEE_SPECIAL_CALAMITAS_NAME" : "Граната CAL",
    "KENKO_BANSHEE_SPECIAL_CALAMITAS_DESCRIPTION" : "Киньте гранату, що створює нестабільну чорну діру. Через <style=cIsUtility>2</style> секунди чорна діра схлопується, завдаючи <style=cIsDamage>700% шкоди</style>.",
    "KENKO_BANSHEE_SPECIAL_SCEP_CALAMITAS_NAME" : "Каламітас",
    "KENKO_BANSHEE_SPECIAL_SCEP_CALAMITAS_DESCRIPTION" : "Киньте 3 гранати, що створюють нестабільні чорні діри.</style>. Через <style=cIsUtility>5</style> секунд чорні діри схлопуються, завдаючи <style=cIsDamage>700% шкоди</style>.",
    "ACHIEVEMENT_KENKO_BANSHEE_UNLOCK_ACHIEVEMENT_NAME" : "Я Мері Поппінс, Чорт Забирай!",
    "ACHIEVEMENT_KENKO_BANSHEE_UNLOCK_ACHIEVEMENT_DESCRIPTION" : "Завершіть рівень, торкнувшись землі не більше одного разу.",
    }
}
