KENKO_CADET_NAME: カデット
KENKO_CADET_SUBTITLE: 多用途射手
KENKO_CADET_MASTERY_SKIN_NAME: カデット：スペシャリスト
PRIMARY_SMG_NAME: サブマシンガン
PRIMARY_SMG_DESCRIPTION: <style=cIsUtility>敏捷</style>。SMGを高速発射し、1発あたり<style=cIsDamage>60%のダメージ</style>。
PRIMARY_SHOTGUN_NAME: ショットガン
PRIMARY_SHOTGUN_DESCRIPTION: <style=cIsUtility>敏捷</style>。ショットガンを発射し<style=cIsDamage>100%のダメージ</style>。
SECONDARY_GRENADE_NAME: グレネード
SECONDARY_GRENADE_DESCRIPTION: 手榴弾を投げ、<style=cIsDamage>400%のダメージ</style>を与える。
SECONDARY_THROWGUN_NAME: 武器投擲
SECONDARY_THROWGUN_DESCRIPTION: 現在の武器を投げ、<style=cIsDamage>600%のダメージ</style>を与える。
UTILITY_SLIDE_NAME: スライド
UTILITY_SLIDE_DESCRIPTION: 方向にスライドし、武器を<style=cIsUtility>即座にリロード</style>する。
UTILITY_ROLLOAD_NAME: タクティカルロール
UTILITY_ROLLOAD_DESCRIPTION: 方向にロールし、武器をリロードする。
SPECIAL_ECHO_NAME: エコー
SPECIAL_ECHO_DESCRIPTION: ソニックドローンを発射し、敵間を跳ね返り<style=cIsDamage>350%のダメージ</style>と減速を与える。
SPECIAL_ULTRA_NAME: ウルトラ
SPECIAL_ULTRA_DESCRIPTION: 強力なエネルギーブラストを発射し<style=cIsDamage>600%のダメージ</style>を与える。
