KENKO_INTERROGATOR_NAME: インターロゲーター
KENKO_INTERROGATOR_SUBTITLE: 拷問の専門家
KENKO_INTERROGATOR_PASSIVE_NAME: 拷問
KENKO_INTERROGATOR_PASSIVE_DESCRIPTION: インターロゲーターは味方と敵の両方に攻撃でき、両方から攻撃を受ける。インターロゲーターを攻撃した者は永久に有罪とマークされる。有罪の敵1体につき基礎ダメージが50増加する。
KENKO_INTERROGATOR_PRIMARY_SWING_DESCRIPTION: 警棒を前に振り、320%のダメージを与える。攻撃を外すと代わりに90%のダメージを受ける。
KENKO_INTERROGATOR_SECONDARY_AFFRAY_DESCRIPTION: 包丁を投げ、450%のダメージを与える。包丁が目標を倒した場合、エリア内の全員に出血とプレッシャーを適用する。
KENKO_INTERROGATOR_UTILITY_FALSIFY_DESCRIPTION: 前方にダッシュし、390%のダメージを与え、命中した目標に有罪を適用する。
KENKO_INTERROGATOR_SPECIAL_CONVICT_NAME: 有罪宣告
KENKO_INTERROGATOR_SPECIAL_CONVICT_DESCRIPTION: 有罪の敵をマークし、10秒間決闘する。この間、すべての外部ダメージは無効化される（自分自身のものも含む）。通常攻撃は自分に当たらなくなり、継続的に有罪のダメージボーナスを蓄積する。
KENKO_INTERROGATOR_SPECIAL_SCEPTER_CONVICT_NAME: 有罪宣告（セプター）
KENKO_INTERROGATOR_SPECIAL_SCEPTER_CONVICT_DESCRIPTION: 有罪の敵をマークし、14秒間決闘する。この間、すべての外部ダメージは無効化される。通常攻撃は自分に当たらなくなり、有罪のダメージボーナスを2倍の効率で蓄積する。
MASTERY_SKIN_NAME: インターロゲーター：スペシャリスト
